n,k,requested,mapping,resolved,candidate_mapping,call_path,timing,timing_boundary,execution_schedule,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,calibration_wall_us,median_us,median_event_us,p10_us,p90_us,p10_event_us,p90_event_us,median_wall_us,p10_wall_us,p90_wall_us,effective_gbps,effective_wall_gbps,effective_tflops,effective_wall_tflops,correct,correctness_max_abs,correctness_relative_l2,speedup_vs_old,speedup_vs_old_wall,latency_ratio_vs_auto,latency_ratio_vs_auto_wall
1024,3072,auto,auto,runtime-guarded:small32x32,small32x32,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,41,68517888,68534272,30,5716,17.2905695438385,17.497490007372107,16.82646413046301,16.82646413046301,16.691662766367845,17.1220046644698,16.691662766367845,17.1220046644698,16.833932732530062,16.700898897952555,17.131965185455176,100.29153997629352,100.24704427735756,0.3739024402999681,0.37373655342238166,True,9.5367431640625e-07,1.8621781702026649e-07,1.844006167434205,1.8438992453781506,1.0,1.0
1024,3072,selected,small32x32,small32x32,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,41,68517888,68534272,30,5776,17.103769779205322,17.315980003331788,16.72975904723614,16.72975904723614,16.578959758261895,17.095973683196092,16.578959758261895,17.095973683196092,16.73796329613704,16.585779449818187,17.11770450150239,100.87126749615645,100.8218246236369,0.37606375454877744,0.37587942383957834,True,9.5367431640625e-07,1.8621781702026649e-07,1.8546653030134495,1.8544714977014247,0.9942527983017067,0.994299048361553
1024,4096,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,31,69074944,69095424,30,1,,,59.4905000180006,59.4905000180006,57.35099911689758,63.853901624679565,57.35099911689758,63.853901624679565,79.17400034784805,77.4800017097732,83.83700078411493,37.799379721461214,28.402051053633794,0.1410075221667624,0.10595154928568672,True,6.556510925292969e-06,1.0374462294588938e-06,1.0,1.0,2.147671446480776,1.6460462096178268
1024,4096,auto,auto,runtime-guarded:small32x32,small32x32,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,31,69074944,69095424,30,1,,,27.700000442564487,27.700000442564487,26.743000373244286,31.63209855556488,26.743000373244286,31.63209855556488,48.09950041817501,46.34610304492526,51.73099962121342,81.18064852246671,46.75108848220591,0.3028378290965607,0.17440114610484098,True,8.940696716308594e-07,1.8745646558758443e-07,2.147671446480776,1.6460462096178268,1.0,1.0
1024,4096,selected,small32x32,small32x32,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,31,69074944,69095424,30,1,,,27.69549936056137,27.69549936056137,26.47500019520521,29.913999512791634,26.47500019520521,29.913999512791634,47.67500104208011,45.95999816956464,51.686099322978414,81.1938420291556,47.1673613182555,0.3028870464038446,0.17595401817811887,True,8.940696716308594e-07,1.8745646558758443e-07,2.1480204867768364,1.6607026453542286,0.9998375060674656,0.9911745574817967
1024,4096,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,31,69074944,69095424,30,2567,38.71558904647827,38.96095000527566,38.70255426065811,38.70255426065811,38.62277046919891,39.30278283220624,38.62277046919891,39.30278283220624,38.71391507584634,38.63609703954721,39.31303541076363,58.10221167458838,58.08516125518314,0.21674559109208924,0.21668198588454474,True,6.556510925292969e-06,1.0374462294588938e-06,1.0,1.0,2.298148673833951,2.2979073794785427
1024,4096,auto,auto,runtime-guarded:small32x32,small32x32,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,31,69074944,69095424,30,5752,17.15047001838684,17.387689986207988,16.8407530380058,16.8407530380058,16.71493063384203,17.017696099420583,16.71493063384203,17.017696099420583,16.84746540334083,16.71968845650847,17.025333275712466,133.5275207067748,133.47432068648646,0.4981135927276408,0.4979151343641608,True,8.940696716308594e-07,1.8745646558758443e-07,2.298148673833951,2.2979073794785427,1.0,1.0
1024,4096,selected,small32x32,small32x32,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,31,69074944,69095424,30,5647,16.952470541000366,17.710089996398892,16.779135407991106,16.779135407991106,16.677979256001876,16.911017740640425,16.677979256001876,16.911017740640425,16.7843288470212,16.6828418808434,16.91531274984618,134.0178707258688,133.9764026608123,0.4999428037278312,0.49978811047239274,True,8.940696716308594e-07,1.8745646558758443e-07,2.306588111937277,2.306551273434868,0.9963411594555399,0.9962524596544291
3072,3072,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,14,70189056,70213632,30,1,,,53.92549932003021,53.92549932003021,51.89000070095062,77.45200246572495,51.89000070095062,77.45200246572495,74.13949970214162,71.88699710241053,100.4509995254921,93.42667316069976,67.95405984988685,0.35000821945081667,0.2545791120229907,True,7.867813110351562e-06,9.756496469582548e-07,1.0,1.0,1.5626050369142162,1.3209828172434928
3072,3072,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,14,70189056,70213632,30,1,,,34.50999967753887,34.50999967753887,33.09510014951229,67.51700043678284,33.09510014951229,67.51700043678284,56.124499678844586,53.30299900379032,89.33900135161821,145.98899006304765,89.76614542363643,0.5469246066752224,0.336294632611477,True,9.5367431640625e-07,1.698147688928988e-07,1.5626050369142162,1.3209828172434928,1.0,1.0
3072,3072,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,14,70189056,70213632,30,1,,,34.80499982833862,34.80499982833862,32.96000137925148,52.776001393795035,32.96000137925148,52.776001393795035,54.615000408375636,52.65100080578122,76.02200203109535,144.75161686103323,92.24718414956509,0.5422889841427977,0.34558945086276094,True,9.5367431640625e-07,1.698147688928988e-07,1.5493607121389341,1.3574933470250738,1.0085482513345763,0.9731044503005533
3072,3072,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,14,70189056,70213632,30,3088,32.18442916870117,32.39028999814764,29.445243005307844,29.445243005307844,29.402580409469998,29.482152424945735,29.402580409469998,29.482152424945735,29.459311690516188,29.422435913161774,29.502196276468325,171.09996338260234,171.01825232467684,0.6409988872089688,0.6406927696846431,True,7.867813110351562e-06,9.756496469582548e-07,1.0,1.0,1.7368783868938777,1.7363524531283505
3072,3072,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,14,70189056,70213632,30,5129,19.274200201034546,19.499769987305626,16.952967592604935,16.952967592604935,16.703559130250095,17.075153186461176,16.703559130250095,17.075153186461176,16.966205010647435,16.714203353695538,17.10011813242813,297.1798283975759,296.9479619536759,1.1133371132162844,1.1124684623435273,True,9.5367431640625e-07,1.698147688928988e-07,1.7368783868938777,1.7363524531283505,1.0,1.0
3072,3072,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,14,70189056,70213632,30,5880,16.766979694366455,17.007690003083553,16.919904176880713,16.919904176880713,16.69690229454819,17.13765643891834,16.69690229454819,17.13765643891834,16.928954846971585,16.707853077926977,17.16043870765381,297.7605515570243,297.60136083659415,1.115512700467291,1.1149163176707528,True,9.5367431640625e-07,1.698147688928988e-07,1.7402724446596867,1.7401730914171676,0.9980496974618979,0.9978044492771087
3072,8192,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1,,,145.2215015888214,145.2215015888214,143.50590407848358,154.03089672327042,143.50590407848358,154.03089672327042,169.40899877226911,167.23600128898397,178.62500026240014,92.37199624874687,79.18351502704134,0.3465853709632371,0.2971013840159646,True,1.6689300537109375e-05,1.5426008674165506e-06,1.0,1.0,2.323525398125288,1.9447821307602584
3072,8192,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1,,,62.50050105154514,62.50050105154514,61.32900007069111,74.19100031256677,61.32900007069111,74.19100031256677,87.10949987289496,85.71700236643665,106.40190012054518,214.6286793594972,153.99468507537642,0.8052999120517562,0.5777974626583894,True,1.1920928955078125e-06,1.8073924669062414e-07,2.323525398125288,1.9447821307602584,1.0,1.0
3072,8192,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1,,,62.49999813735485,62.49999813735485,61.46800071001053,67.50410050153734,61.46800071001053,67.50410050153734,86.79500024300069,85.3979989187792,91.68290162051562,214.63040639648455,154.55268117338088,0.8053063920000006,0.5798910980941998,True,1.1920928955078125e-06,1.8073924669062414e-07,2.323544094668153,1.9518290027993932,0.9999919534374632,0.99638960583687
3072,8192,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,788,126.6916275024414,127.00817998847924,82.31922091566366,82.31922091566366,81.39606078869195,82.55641956619806,81.39606078869195,82.55641956619806,82.37440926197525,81.44402043094465,82.63162550748592,162.95586681685313,162.84669134728722,0.6114203638001501,0.6110107307711344,True,1.6689300537109375e-05,1.5426008674165506e-06,1.0,1.0,2.7559148889882543,2.756573986220467
3072,8192,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,2168,45.88997840881348,46.13680001057219,29.870015668693064,29.870015668693064,29.75186316289585,30.883786599134613,29.75186316289585,30.883786599134613,29.882894373141287,29.763491696993732,30.90126093156466,449.0924996085526,448.8989531100056,1.6850224840274486,1.6842962857452668,True,1.1920928955078125e-06,1.8073924669062414e-07,2.7559148889882543,2.756573986220467,1.0,1.0
3072,8192,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,2226,44.665470123291016,44.93661002925364,30.123156250219353,30.123156250219353,29.805132171000217,30.704268997891575,29.805132171000217,30.704268997891575,30.140386342987206,29.817863880717695,30.726288364794225,445.3185412767734,445.0639698956992,1.6708623618958751,1.6699071945277408,True,1.1920928955078125e-06,1.8073924669062414e-07,2.7327554998511894,2.733024332355361,1.008474738826187,1.0086167011344576
3584,3584,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,10,68239360,68268032,30,1,,,73.12100008130074,73.12100008130074,72.1960999071598,80.37200272083282,72.1960999071598,80.37200272083282,97.85499969439115,96.36299873818643,105.49190046731383,93.71600487385047,70.02818477748947,0.3513369889831382,0.26253244167627854,True,7.867813110351562e-06,1.0280012409600898e-06,1.0,1.0,1.8216038720152423,1.5128044939749323
3584,3584,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,10,68239360,68268032,30,1,,,40.14099948108196,40.14099948108196,38.94809894263744,44.36889924108982,38.94809894263744,44.36889924108982,64.68449828389566,63.77499921654817,72.12889941001777,170.71343734800533,105.93895263629302,0.639996819513861,0.39716025758208595,True,1.1920928955078125e-06,1.7105643362511934e-07,1.8216038720152423,1.5128044939749323,1.0,1.0
3584,3584,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,10,68239360,68268032,30,1,,,39.84049893915653,39.84049893915653,38.54890130460262,49.77700114250183,38.54890130460262,49.77700114250183,64.52950037783012,63.13699850579724,74.12099839712029,172.0010587835544,106.1934147928766,0.6448240530128232,0.39811422449547035,True,1.1920928955078125e-06,1.7105643362511934e-07,1.8353434828456692,1.5164382045643485,0.992513874945564,0.997603785911962
3584,3584,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,10,68239360,68268032,30,1758,56.635098457336426,56.90174002666026,34.18561785701192,34.18561785701192,34.10964375605491,34.683176980219336,34.10964375605491,34.683176980219336,34.19979237769729,34.12340216058059,34.69827753055705,200.45295155004607,200.36987138169852,0.7514888894930597,0.7511774257656982,True,7.867813110351562e-06,1.0280012409600898e-06,1.0,1.0,2.0252516884290146,2.025228694814999
3584,3584,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,10,68239360,68268032,30,4169,23.7288498878479,23.98864999122452,16.879688609730113,16.879688609730113,16.747451200277066,16.97945525017709,16.747451200277066,16.97945525017709,16.886879227642673,16.755895227000934,16.985958263224504,405.96767857731027,405.79481309860654,1.5219541422814646,1.5213060775579559,True,1.1920928955078125e-06,1.7105643362511934e-07,2.0252516884290146,2.025228694814999,1.0,1.0
3584,3584,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,10,68239360,68268032,30,4047,24.463059902191162,24.715539984754287,16.857914492204394,16.857914492204394,16.746627509755974,17.089905772999774,16.746627509755974,17.089905772999774,16.864664689488137,16.75283103556395,17.097875907705365,406.49203691054737,406.3293356950808,1.5239199375391232,1.5233099781706791,True,1.1920928955078125e-06,1.7105643362511934e-07,2.027867555789322,2.027896374305874,0.998710040331362,0.9986845089696519
3584,18944,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1,,,306.46300315856934,306.46300315856934,303.99500131607056,325.9750932455063,303.99500131607056,325.9750932455063,331.21749947895296,328.4699996584095,349.54500224557705,117.98973327064358,109.17142982144195,0.4430896734694581,0.4099740871590897,True,3.4332275390625e-05,2.3062485573181395e-06,1.0,1.0,2.487908056299754,2.229009900010792
3584,18944,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1,,,123.18100035190582,123.18100035190582,121.58910036087036,137.87299692630768,121.58910036087036,137.87299692630768,148.5940010752529,146.18899986089673,164.76699856866617,293.5476079646933,243.34419787032752,1.1023663682878924,0.9138362990254982,True,2.384185791015625e-06,2.0284139585174614e-07,2.487908056299754,2.229009900010792,1.0,1.0
3584,18944,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,1,,,123.82149696350098,123.82149696350098,121.51709869503975,132.35789984464645,121.51709869503975,132.35789984464645,148.45900113868993,145.7680013118079,156.71300134272315,292.02916203362315,243.5654808577078,1.096664111887027,0.9146672883319811,True,2.384185791015625e-06,2.0284139585174614e-07,2.4750387507340976,2.2310368313035505,1.005199638010451,0.9990914846118546
3584,18944,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,337,297.1895980834961,297.45837000518804,183.93896312317437,183.93896312317437,183.22540645429572,186.69922599452897,183.22540645429572,186.69922599452897,184.02999703755438,183.33191691391903,186.7867718084207,196.58416784586237,196.48692377374246,0.7382372374746295,0.7378720544797361,True,3.4332275390625e-05,2.3062485573181395e-06,1.0,1.0,2.781512982208923,2.7816369611611305
3584,18944,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,931,107.1733570098877,107.49919998488622,66.12910466342684,66.12910466342684,65.91956879219359,68.99975490877375,65.91956879219359,68.99975490877375,66.15888399783675,65.95484629610031,69.02819538152492,546.8014149600041,546.5552895538917,2.0534164599857334,2.052492179348733,True,2.384185791015625e-06,2.0284139585174614e-07,2.781512982208923,2.7816369611611305,1.0,1.0
3584,18944,selected,split8,split8,,private-allocation-equivalent:_q4_group64_gemv(out=None),batched,"synchronized measurement around repeated public auto calls or allocation-equivalent private controls, each including output allocation, divided by iterations; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,2,72138752,72228864,30,942,105.9366512298584,106.2439099769108,68.46414553891321,68.46414553891321,66.10277301440067,69.59663034750906,66.10277301440067,69.59663034750906,68.49214118806994,66.13116454363777,69.62438375975988,528.1521841158143,527.9363058706407,1.98338255638961,1.982571863641083,True,2.384185791015625e-06,2.0284139585174614e-07,2.686646589617164,2.686877557707438,1.0353103355530198,1.0352674810885485
4096,4096,old,old,old,,private-allocation-equivalent:_q4_group64_gemv(out=None),integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,8,71303168,71335936,30,1,,,84.16099846363068,84.16099846363068,82.14500173926353,91.86100214719772,82.14500173926353,91.86100214719772,109.20900058408733,107.08990012062714,118.05800022557379,106.29227508352075,81.91324846995677,0.3986933688114478,0.3072496938946364,True,7.152557373046875e-06,1.1054492264509916e-06,1.0,1.0,1.8997968371275724,1.5800027563994243
4096,4096,auto,auto,runtime-guarded:split8,split8,public:q4_group64_gemv,integration,"single synchronized measurement around one public auto call or allocation-equivalent private control, including output allocation; records host wall-clock and HIP-event elapsed time",cyclic_latin_by_sample_round,rotating,8,71303168,71335936,30,1,,,44.29999925196171,44.29999925196171,43.480001389980316,51.84900052845479,43.480001389980316,51.84900052845479,69.11950003996026,67.91499872633722,77.47999952698592,201.93372801476661,129.42315836816263,0.7574364010517254,0.48545536325640487,True,9.5367431640625e-07,1.679710181895155e-07,1.8997968371275724,1.5800027563994243,1.0,1.0
